_id,username,current_document,query,check_one_gold,check_one_gold_reason,_golden
ObjectId(5a2a5e23e007d23be0ebdcba),TBWIAI,"On first sight, the horse's hoof might look like a hard, solid object. However, the hoof is made up of several layers, each with specific function.
One who take care of the horse hoof is belong to the Fryers. Not only they need to know how to shape the metal for the horse, they need to know physiology and anatomy in order to deal and to avoid inflammation and other health issues.
This profession of structuring the horse hoof is an ancient one thanks to the use of men in horses for riding and carrying supply. Those days it became less popular, but still one who deal with horses need to know how the adjust the hood for the horse in order to be completable and to adjust it to the most comfortable angle for the horse.

",horse hooves,,,
ObjectId(5a2a5e23e007d23be0ebdcbb),TBWIAI,"The dream - furniture everywhere in our house, and it must be cool and decorative. This is our dream but in reality our house is small and we don't have enough space. A average house is equipped with small bed, nice bookcase, couple of wooden chairs, comfy couch next to the television and a corner table. Although it is not ideal, some companies offers a complete set of furniture which fit your own small space. for example, IKEA offers furniture set which will be compatible for 40 m^2. Those companies trying to target young population who lives in smaller apartments and design the furniture to fit the need and ideas about house design. Furthermore, a lot of independent designers will like to offer a plan how to furbish your space with unique furniture. So next time when you thinking on improving your goods, don't hesitate a because size not always matter.",furniture small spaces,,,
ObjectId(5a2a5e23e007d23be0ebdcbc),XRN1VX,"Thanks to heavy infomercial advertising featuring hard bodies, Bowflex machines have sold by the millions.
Priced at $1,200 and up, the Bowflex Power Pro models are high-end home fitness equipment. But now the government is warning that on certain models of the Bowflex Power Pro with a ""lat"" tower, the bench can collapse and break, and the lat tower may fall. In fact, 73 people who were just trying to get a workout on the Bowflex Power Pro wound up in pain, with back, neck, and head injuries. While the company says most of the injuries were minor, some required stitches.
Though the recall was just announced, Bowflex first heard from an injured customer more than five years ago, according to Gregg Hammann, who runs the company.
",bowflex power pro,,,
ObjectId(5a2a5e23e007d23be0ebdcbd),XRN1VX,"You'll find some of the very best hotels and restaurants in the Caribbean on Barbados' glam west coast. But the island's appeal is far broader than that.The beaches are good and varied, with the sea usually mill-pond calm on the west coast, and with surf in the south. It's an island where, by and large, everything works, and the Bajans are a self-confident, dynamic lot who get things done.
Barbados also has lots to see and do - you should make time to visit the wild, wave-pummelled east coast and a plantation house or two hidden among the sugar cane fields of the interior.
Barbados is pretty safe by Caribbean standards. So while in some other Caribbean countries many holidaymakers only venture out of their hotels on the occasional organised excursion, on Barbados you can, and should, explore independently, as long as you are sensible and security conscious.",barbados,,,
ObjectId(5a2a5e23e007d23be0ebdcbe),XRN1VX,"This is a basic tutorial with instructions on how to sew.Before you sew, make sure you have the right basic materials.
Spool of thread,Scissors,Sewing needle. Of course.And the fabric that you are sewing together.
I'm using a bit of fabric for this demonstration so hopefully its enough to learn from. The two pieces of fabric are different colours because it won't cause confusion that way. 
This is for a project  in my film class. It deals with filming and sewing deals a lot with filming. Many props and costumes are sewn so its a valuable asset to anyone who wants to make a movie.
Start with unraveling the thread from the spool. Make sure you pull out a lot but not too much. After that, cut it from the spool with the scissors.",sewing instructions,,,
ObjectId(5a2a5e23e007d23be0ebdcbf),3EQ02Q,"GPS which stands for Global Positioning system is a satellite based navigation. GPS has plenty of uses in many fields such as astronomy, cartography, cellular communication and more. There are many GPS receivers which used for data collection that compete each other on the accuracy level. And how does this technology work? The GPS broadcasts microwaves signals to the receivers on earth, and then, by considering the range of the waves the location of the satellite can be derived. Our daily basis use of GPS is when we driving. It's hard to imagine how travelling was like before the GPS emerged. Today we can use thousands of maps and use it to navigate our way thanks to GPS.
",gps,,,
ObjectId(5a2a5e23e007d23be0ebdcc0),3EQ02Q,"Looking for hotel in Manhattan, New York? want to stay close to one of the most famous sport arenas in the world-the Madison Square Garden? we can help you. We can offer some really great hotels in a decent budget, so you can spend your time at the heart of the Big Apple, New York, without regrets. In this area you can find all you need- great bars, fancy restaurants, towers, skyscrapers, museums and the most famous place in New York- the great Central Park. if you are just looking for a quick weekend in New York our guides would like to escort you all the way from JFK to Madison Square Garden through ground zero- everything you need for an incredible vacation in New York.",newyork hotels,,,
ObjectId(5a2a5e23e007d23be0ebdcc1),3EQ02Q,"Want to stop smoking and throw all the cigarettes? Do people are staying two meters away of you because of the smell? Worried about lungs cancer? Well, it sounds like you really want quit smoking. This step is hard to make but if you really want to stop smoking you can use the next tip. Try to make a list of the pros and cons of being a smoker. According to a research that was made in the Clinical Psychiatric Research Center at George Washington University making such a ""for and against smoking"" list can be very efficient as it clarify to you the price you pay of being a smoker. It's never late to make an extreme change and drop all the cigarettes. The awareness to all the things cigarettes and smoking make you loose can do really push you to end this circle.",quit smoking,,,
ObjectId(5a2a5e23e007d23be0ebdcc2),41S8KU,"An elliptical trainer or cross-trainer is a stationary exercise machine used to simulate stair climbing, walking, or running without causing excessive pressure to the joints, hence decreasing the risk of impact injuries. Elliptical trainers offer a non-impact cardiovascular workout that can vary from light to high intensity based on the speed of the exercise and the resistance preference set by the user.
for that reason, people are increasingly looking to elliptical workouts as a safe way to get fantastic cardio exercise, to help lose excess weight, and to tone up the entire body overall
Elliptical trainers are an example of a weight-bearing form of exercise. They can be self-powered by user-generated motion or need to be plugged in for adjustment of motion and/or for supplying their electronic consoles and resistance systems.
Elliptical machines range in price from around $100 to well over $1000. ",elliptical trainer,,,
ObjectId(5a2a5e23e007d23be0ebdcc3),41S8KU,"Use the wedding budget calculator to create a budget starting point or a wedding budget checklist. Simply enter your zip code, number of guests, wedding travel distance, ceremony and reception option, words that describe your wedding, and additional options. Then select your ceremony and reception location, items you plan to purchase and the wedding budget calculator will generate an estimate that you can use as your wedding budget starting point.

The wedding budget calculator provides average spending by other couples in your area along with estimates based on your selected options. You can add your own items, remove items, print, and/or save to Microsoft Excel for use as a wedding budget worksheet. You can also create multiple wedding cost estimates and save them to view or work on later. It is the best way to create and manage a wedding budget, checklist, or worksheet, truly better than a wedding budget calculator alone.",wedding budget calculator,,,
